Model,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
Logistic Regression,0.0034,0.0021,0.0065,0.0184,0.016,0.0014,0.0161,0.0058,0.0088,0.0206
Fair-Logistic Regression,0.003,0.0019,0.0011,0.0182,0.0106,0.0005,0.004,0.0036,0.0026,0.0058
Decision Tree,0.0034,0.0087,0.0002,0.0116,0.0143,0.023,0.0002,0.01,0.0124,0.0011
Fair-Decision Tree,0.0017,0.0031,0.0002,0.0103,0.0141,0.0172,0.0002,0.0058,0.0123,0.0005
EBM,0.0024,0.0032,0.0026,0.0064,0.0174,0.0157,0.0011,0.0046,0.0156,0.003
Fair-EBM,0.0019,0.0016,0.0006,0.0018,0.0121,0.0137,0.0004,0.0014,0.0053,0.0005
GAM,0.0196,0.0084,0.0032,0.0105,0.0038,0.0178,0.004,0.0072,0.0077,0.001
Fair-GAM,0.0021,0.0066,0.0018,0.0027,0.002,0.0041,0.0026,0.0065,0.0072,0.0008
Random Forest,0.0027,0.0052,0.0022,0.0074,0.0178,0.0152,0.0084,0.0006,0.0101,0.0039
Fair-Random Forest,0.0011,0.0005,0.0014,0.0068,0.0021,0.0107,0.0048,0.0004,0.0078,0.0005
XGBoost,0.0039,0.0021,0.0029,0.0101,0.0224,0.0187,0.0001,0.0019,0.0079,0.0013
Fair-XGBoost,0.0021,0.0004,0.0026,0.0022,0.0061,0.0105,0.0001,0.0004,0.0054,0.0
TabPFN,0.0065,0.0002,0.0125,0.0078,0.0139,0.0153,0.0121,0.0013,0.0245,0.0053
Fair-TabPFN,0.0033,0.0001,0.0114,0.006,0.0083,0.0148,0.0013,0.0003,0.0191,0.0047
